Band,Date,Time,Trap,Species,Sex,FA(mm),Wt(g)
MB0001,5-May-10,21:00,KL0359,Balionycteris maculata,F,42.9,15
MB0002,8-May-10,7:00,KL0509,Cynopterus brachyotis,F,57.8,34
MB0003,8-May-10,21:00,KL0397,Cynopterus brachyotis,F,62.9,34
MB0004,8-May-10,21:00,KL0509,Cynopterus brachyotis,M,61.4,27
MBCRU7115,24-May-10,7:00,KL0645,Emballonura monticola,F,43.9,5.25
MBCRU2168,10-Jun-10,21:00,KL0162,Emballonura monticola,F,44.6,9.75
MBCRUC2173,10-May-10,21:00,KL0491,Hipposideros bicolor 142 kHz,F,42.8,8
MBCRUC2230,6-Jun-10,21:00,KL0135,Hipposideros bicolor 142 kHz,F,43,8
MBCRUC2044,8-May-10,21:00,KL0507,Hipposideros bicolor 142 kHz,F,44.4,8
MBCRUC2165,4-May-10,21:00,KL0343,Hipposideros bicolor 142 kHz,F,43.1,8.25
MBCRUC2174,10-May-10,21:00,KL0423,Hipposideros bicolor 142 kHz,F,43.3,8.25
MBCRUC1997,2-May-10,21:00,KL0301,Hipposideros bicolor 142 kHz,F,44.6,10.25
MBCRUC1997,2-May-10,21:00,KL0301,Hipposideros bicolor 142 kHz,F,44.6,10.25
MBCRUC2178,11-May-10,21:00,KL0435,Hipposideros bicolor 142 kHz,M,42.5,9
MBCRUC0915,31-May-10,7:00,KL0783,Hipposideros bicolor 142kHz,F,44.3,9.25
MBCRUC2189,24-May-10,21:00,KL0648,Hipposideros bicolor 142kHz,F,44.6,10.25
MBCRUC2196,24-May-10,21:00,KL0701,Hipposideros bicolor 142kHz,M,42.9,9
MBCRUC2202,24-May-10,7:00,KL0649,Hipposideros cervinus,F,51.2,9.25
MBCRUC2208,27-May-10,7:00,KL0734,Hipposideros cervinus,F,49.5,9.5
MBCRUC2227,4-Jun-10,7:00,KL0697,Hipposideros cervinus,F,48.3,10
MBCRUC0634,4-Jun-10,21:00,KL0668,Hipposideros cervinus,F,49.2,10
MBCRUC2231,8-Jun-10,21:00,KL0144,Hipposideros cervinus,F,50.4,10
MBCRUC2201,24-May-10,7:00,KL0649,Hipposideros cervinus,F,51,10.25
MBCRUC1978,10-May-10,21:00,KL0423,Hipposideros cervinus,F,50.9,10.5
MBCRUC2211,28-May-10,21:00,KL0762,Hipposideros cervinus,F,51.4,10.5
MBCRUC2229,4-Jun-10,7:00,KL0697,Hipposideros cervinus,F,49.9,10.75
MBCRUC2195,24-May-10,21:00,KL0648,Hipposideros cervinus,F,49.8,11
MBCRUC0865,24-May-10,21:00,KL0642,Hipposideros cervinus,F,50.4,11
MBCRUC0490,4-May-10,21:00,KL0343,Hipposideros cervinus,F,50.5,11
MBCRUC2191,24-May-10,21:00,KL0648,Hipposideros cervinus,F,49.5,11.25
MBCRUC0802,3-May-10,21:00,KL0315,Hipposideros cervinus,F,49.9,11.25
MBCRUC2232,10-Jun-10,21:00,KL0152,Hipposideros cervinus,F,50.2,11.5
MBCRUC2204,27-May-10,21:00,KL0742,Hipposideros cervinus,F,50.6,12.5
MBCRUC06XX,24-May-10,21:00,KL0644,Hipposideros cervinus,F,49.3,12.75
MBCRUC1399,9-May-10,21:00,KL0415,Hipposideros cervinus,F,51.6,14
MBCRUC2389,24-May-10,21:00,KL0642,Hipposideros cervinus,M,48.9,10.5
MBCRUC2162,2-May-10,7:00,KL0459,Hipposideros cervinus,M,49.3,10.75
MBCRUC2162,2-May-10,7:00,KL0459,Hipposideros cervinus,M,49.3,10.75
MBCRU2219,30-May-10,21:00,KL0807,Hipposideros cervinus,M,48.5,14.25
THK3376,12-May-10,21:00,KL0016,Hipposideros diadema,F,82.9,41
THK3373,11-May-10,21:00,KL0010,Hipposideros diadema,F,82.1,44
THK3377,12-May-10,7:00,KL0014,Hipposideros diadema,F,82.6,45
THK3375,12-May-10,21:00,KL0020,Hipposideros diadema,F,82.2,47
THK3374,11-May-10,21:00,KL0008,Hipposideros diadema,M,82.6,46
THK3381,10-Jun-10,21:00,KL0168,Hipposideros diadema,M,81.8,47
THK3380,28-May-10,21:00,KL0760,Hipposideros diadema,M,83.5,48
THK3345,28-May-10,21:00,KL0762,Hipposideros diadema,M,84.9,48
THK3379,28-May-10,21:00,KL0762,Hipposideros diadema,M,87.3,54
THK3338,24-May-10,21:00,KL0709,Hipposideros diadema,M,81.1,56
THK3378,28-May-10,21:00,KL0776,Hipposideros diadema,M,83.5,57
THK3342,28-May-10,21:00,KL0770,Hipposideros diadema,M,87.5,58
THK3341,28-May-10,21:00,KL0770,Hipposideros diadema,M,85,61
THK3382,14-Jun-10,21:00,KL0088,Hipposideros diadmea,M,87.2,52
MBCRUC2194,24-May-10,21:00,KL0648,Hipposideros larvatus,F,57.7,18.75
MBCRUC2209,28-May-10,21:00,KL0770,Hipposideros larvatus,F,57.4,21
MBCRUC2183,12-May-10,21:00,KL0026,Hipposideros ridleyi,F,48.9,8.75
